"Woche","Geschlecht","Inzidenz pro 100'000","Meta","Type","Content"
2020-02-24,"männlich","0",NA,NA,NA
2020-03-02,"männlich","0",NA,NA,NA
2020-03-09,"männlich","0",NA,NA,NA
2020-03-16,"männlich","0",NA,NA,NA
2020-03-23,"männlich","1.55",NA,NA,NA
2020-03-30,"männlich","3.1",NA,NA,NA
2020-04-06,"männlich","0",NA,NA,NA
2020-04-13,"männlich","0",NA,NA,NA
2020-04-20,"männlich","1.55",NA,NA,NA
2020-04-27,"männlich","0",NA,NA,NA
2020-05-04,"männlich","0",NA,NA,NA
2020-05-11,"männlich","0",NA,NA,NA
2020-05-18,"männlich","0",NA,NA,NA
2020-05-25,"männlich","0",NA,NA,NA
2020-06-01,"männlich","0",NA,NA,NA
2020-06-08,"männlich","0",NA,NA,NA
2020-06-15,"männlich","0",NA,NA,NA
2020-06-22,"männlich","0",NA,NA,NA
2020-06-29,"männlich","0",NA,NA,NA
2020-07-06,"männlich","0",NA,NA,NA
2020-07-13,"männlich","0",NA,NA,NA
2020-07-20,"männlich","0",NA,NA,NA
2020-07-27,"männlich","0",NA,NA,NA
2020-08-03,"männlich","0",NA,NA,NA
2020-08-10,"männlich","0",NA,NA,NA
2020-08-17,"männlich","0",NA,NA,NA
2020-08-24,"männlich","0",NA,NA,NA
2020-08-31,"männlich","0",NA,NA,NA
2020-09-07,"männlich","0",NA,NA,NA
2020-09-14,"männlich","0",NA,NA,NA
2020-09-21,"männlich","0",NA,NA,NA
2020-09-28,"männlich","0",NA,NA,NA
2020-10-05,"männlich","0",NA,NA,NA
2020-10-12,"männlich","0",NA,NA,NA
2020-10-19,"männlich","0",NA,NA,NA
2020-10-26,"männlich","1.55",NA,NA,NA
2020-11-02,"männlich","0",NA,NA,NA
2020-11-09,"männlich","3.1",NA,NA,NA
2020-11-16,"männlich","1.55",NA,NA,NA
2020-11-23,"männlich","0",NA,NA,NA
2020-11-30,"männlich","4.64",NA,NA,NA
2020-12-07,"männlich","6.19",NA,NA,NA
2020-12-14,"männlich","0",NA,NA,NA
2020-02-24,"weiblich","0",NA,NA,NA
2020-03-02,"weiblich","0",NA,NA,NA
2020-03-09,"weiblich","0",NA,NA,NA
2020-03-16,"weiblich","0",NA,NA,NA
2020-03-23,"weiblich","0",NA,NA,NA
2020-03-30,"weiblich","0",NA,NA,NA
2020-04-06,"weiblich","3.17",NA,NA,NA
2020-04-13,"weiblich","3.17",NA,NA,NA
2020-04-20,"weiblich","0",NA,NA,NA
2020-04-27,"weiblich","0",NA,NA,NA
2020-05-04,"weiblich","0",NA,NA,NA
2020-05-11,"weiblich","0",NA,NA,NA
2020-05-18,"weiblich","0",NA,NA,NA
2020-05-25,"weiblich","0",NA,NA,NA
2020-06-01,"weiblich","0",NA,NA,NA
2020-06-08,"weiblich","0",NA,NA,NA
2020-06-15,"weiblich","0",NA,NA,NA
2020-06-22,"weiblich","0",NA,NA,NA
2020-06-29,"weiblich","0",NA,NA,NA
2020-07-06,"weiblich","0",NA,NA,NA
2020-07-13,"weiblich","0",NA,NA,NA
2020-07-20,"weiblich","0",NA,NA,NA
2020-07-27,"weiblich","0",NA,NA,NA
2020-08-03,"weiblich","0",NA,NA,NA
2020-08-10,"weiblich","0",NA,NA,NA
2020-08-17,"weiblich","0",NA,NA,NA
2020-08-24,"weiblich","0",NA,NA,NA
2020-08-31,"weiblich","0",NA,NA,NA
2020-09-07,"weiblich","0",NA,NA,NA
2020-09-14,"weiblich","0",NA,NA,NA
2020-09-21,"weiblich","0",NA,NA,NA
2020-09-28,"weiblich","0",NA,NA,NA
2020-10-05,"weiblich","0",NA,NA,NA
2020-10-12,"weiblich","1.59",NA,NA,NA
2020-10-19,"weiblich","0",NA,NA,NA
2020-10-26,"weiblich","1.59",NA,NA,NA
2020-11-02,"weiblich","3.17",NA,NA,NA
2020-11-09,"weiblich","6.34",NA,NA,NA
2020-11-16,"weiblich","4.76",NA,NA,NA
2020-11-23,"weiblich","1.59",NA,NA,NA
2020-11-30,"weiblich","4.76",NA,NA,NA
2020-12-07,"weiblich","4.76",NA,NA,NA
2020-12-14,"weiblich","0",NA,NA,NA
2020-02-24,"Unbekannt",NA,NA,NA,NA
2020-03-02,"Unbekannt",NA,NA,NA,NA
2020-03-09,"Unbekannt",NA,NA,NA,NA
2020-03-16,"Unbekannt",NA,NA,NA,NA
2020-03-23,"Unbekannt",NA,NA,NA,NA
2020-03-30,"Unbekannt",NA,NA,NA,NA
2020-04-06,"Unbekannt",NA,NA,NA,NA
2020-04-13,"Unbekannt",NA,NA,NA,NA
2020-04-20,"Unbekannt",NA,NA,NA,NA
2020-04-27,"Unbekannt",NA,NA,NA,NA
2020-05-04,"Unbekannt",NA,NA,NA,NA
2020-05-11,"Unbekannt",NA,NA,NA,NA
2020-05-18,"Unbekannt",NA,NA,NA,NA
2020-05-25,"Unbekannt",NA,NA,NA,NA
2020-06-01,"Unbekannt",NA,NA,NA,NA
2020-06-08,"Unbekannt",NA,NA,NA,NA
2020-06-15,"Unbekannt",NA,NA,NA,NA
2020-06-22,"Unbekannt",NA,NA,NA,NA
2020-06-29,"Unbekannt",NA,NA,NA,NA
2020-07-06,"Unbekannt",NA,NA,NA,NA
2020-07-13,"Unbekannt",NA,NA,NA,NA
2020-07-20,"Unbekannt",NA,NA,NA,NA
2020-07-27,"Unbekannt",NA,NA,NA,NA
2020-08-03,"Unbekannt",NA,NA,NA,NA
2020-08-10,"Unbekannt",NA,NA,NA,NA
2020-08-17,"Unbekannt",NA,NA,NA,NA
2020-08-24,"Unbekannt",NA,NA,NA,NA
2020-08-31,"Unbekannt",NA,NA,NA,NA
2020-09-07,"Unbekannt",NA,NA,NA,NA
2020-09-14,"Unbekannt",NA,NA,NA,NA
2020-09-21,"Unbekannt",NA,NA,NA,NA
2020-09-28,"Unbekannt",NA,NA,NA,NA
2020-10-05,"Unbekannt",NA,NA,NA,NA
2020-10-12,"Unbekannt",NA,NA,NA,NA
2020-10-19,"Unbekannt",NA,NA,NA,NA
2020-10-26,"Unbekannt",NA,NA,NA,NA
2020-11-02,"Unbekannt",NA,NA,NA,NA
2020-11-09,"Unbekannt",NA,NA,NA,NA
2020-11-16,"Unbekannt",NA,NA,NA,NA
2020-11-23,"Unbekannt",NA,NA,NA,NA
2020-11-30,"Unbekannt",NA,NA,NA,NA
2020-12-07,"Unbekannt",NA,NA,NA,NA
2020-12-14,"Unbekannt",NA,NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,float"
NA,NA,NA,"1","title","Todesfälle aufgrund von COVID-19 nach Geschlecht im Zeitverlauf pro 100'000"
NA,NA,NA,"1","subtitle","Datenstand: 15.12.2020"
NA,NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen im entsprechenden Geschlecht ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Todesfälle werden beim BAG mit zeitlicher Verzögerung registriert, diese Zahlen umfassen noch nicht alle im Kanton registrierten Fälle."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
