"Woche","Altersklasse","Inzidenz pro 100'000","Meta","Type","Content"
2020-05-25,"0 - 9 Jahre","234.74",NA,NA,NA
2020-06-01,"0 - 9 Jahre","333.18",NA,NA,NA
2020-06-08,"0 - 9 Jahre","454.34",NA,NA,NA
2020-06-15,"0 - 9 Jahre","522.49",NA,NA,NA
2020-06-22,"0 - 9 Jahre","219.6",NA,NA,NA
2020-06-29,"0 - 9 Jahre","174.16",NA,NA,NA
2020-07-06,"0 - 9 Jahre","151.45",NA,NA,NA
2020-07-13,"0 - 9 Jahre","128.73",NA,NA,NA
2020-07-20,"0 - 9 Jahre","98.44",NA,NA,NA
2020-07-27,"0 - 9 Jahre","90.87",NA,NA,NA
2020-08-03,"0 - 9 Jahre","75.72",NA,NA,NA
2020-08-10,"0 - 9 Jahre","83.3",NA,NA,NA
2020-08-17,"0 - 9 Jahre","151.45",NA,NA,NA
2020-08-24,"0 - 9 Jahre","219.6",NA,NA,NA
2020-08-31,"0 - 9 Jahre","189.31",NA,NA,NA
2020-09-07,"0 - 9 Jahre","159.02",NA,NA,NA
2020-09-14,"0 - 9 Jahre","106.01",NA,NA,NA
2020-09-21,"0 - 9 Jahre","60.58",NA,NA,NA
2020-09-28,"0 - 9 Jahre","174.16",NA,NA,NA
2020-10-05,"0 - 9 Jahre","113.58",NA,NA,NA
2020-10-12,"0 - 9 Jahre","121.16",NA,NA,NA
2020-10-19,"0 - 9 Jahre","159.02",NA,NA,NA
2020-10-26,"0 - 9 Jahre","151.45",NA,NA,NA
2020-11-02,"0 - 9 Jahre","189.31",NA,NA,NA
2020-11-09,"0 - 9 Jahre","318.04",NA,NA,NA
2020-11-16,"0 - 9 Jahre","280.18",NA,NA,NA
2020-11-23,"0 - 9 Jahre","174.16",NA,NA,NA
2020-11-30,"0 - 9 Jahre","234.74",NA,NA,NA
2020-12-07,"0 - 9 Jahre","257.46",NA,NA,NA
2020-12-14,"0 - 9 Jahre","60.58",NA,NA,NA
2020-05-25,"10 - 19 Jahre","157.54",NA,NA,NA
2020-06-01,"10 - 19 Jahre","212.68",NA,NA,NA
2020-06-08,"10 - 19 Jahre","551.4",NA,NA,NA
2020-06-15,"10 - 19 Jahre","811.34",NA,NA,NA
2020-06-22,"10 - 19 Jahre","882.24",NA,NA,NA
2020-06-29,"10 - 19 Jahre","1268.22",NA,NA,NA
2020-07-06,"10 - 19 Jahre","740.45",NA,NA,NA
